Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments_Score,Sleep_Hours,Result
S001,2,65,45,50,6,Fail
S002,5,82,68,75,7,Pass
S003,1.5,55,38,42,5,Fail
S004,6,90,78,85,8,Pass
S005,4,75,60,65,7,Pass
S006,2.5,68,48,55,6,Fail
S007,7,92,85,90,8,Pass
S008,3,70,52,60,6,Fail
S009,5.5,88,72,80,7,Pass
S010,1,50,35,40,5,Fail
S011,4.5,78,64,70,7,Pass
S012,3.5,72,55,58,6,Pass
S013,2,60,42,48,5,Fail
S014,6.5,85,80,88,8,Pass
S015,4,67,58,62,6,Fail
S016,5,80,70,72,7,Pass
S017,1.5,58,40,45,6,Fail
S018,7.5,95,88,92,8,Pass
S019,3,62,50,55,7,Fail
S020,4.5,85,66,74,7,Pass
S021,2.5,73,47,52,6,Fail
S022,6,89,76,82,8,Pass
S023,3.5,69,57,64,6,Pass
S024,1,52,32,38,5,Fail
S025,5.5,77,74,78,7,Pass
S026,2,71,46,51,6,Fail
S027,4.8,81,63,69,7,Pass
S028,6.8,94,82,89,8,Pass
S029,2.8,66,49,54,6,Fail
S030,3.8,76,59,67,7,Pass
S031,1.2,57,36,41,5,Fail
S032,5.8,86,73,79,7,Pass
S033,4.2,74,61,68,6,Pass
S034,2.2,63,44,49,6,Fail
S035,7.2,91,87,93,8,Pass
S036,3.2,68,53,57,6,Fail
S037,4.7,79,65,71,7,Pass
S038,1.8,59,41,46,5,Fail
S039,6.2,87,79,84,8,Pass
S040,3.6,73,56,63,7,Pass
S041,2.6,64,43,50,6,Fail
S042,5.2,83,71,77,7,Pass
S043,1.4,54,34,39,5,Fail
S044,6.5,93,81,87,8,Pass
S045,3.4,67,51,59,6,Fail
S046,4.3,77,62,70,7,Pass
S047,2.4,61,45,47,6,Fail
S048,5.7,89,75,81,7,Pass
S049,3.9,71,58,65,6,Pass
S050,1.7,56,39,44,5,Fail
